group_name	thread_number	cpu_time(us)	wait_time(us)	exec_time(us)
c_25_m_32	0	189	33692	33881
c_25_m_32	1	381	45184	45565
c_25_m_32	2	395	49984	50379
c_25_m_32	3	197	27925	28122
c_25_m_32	4	208	22740	22948
c_25_m_32	5	213	24707	24920
c_25_m_32	6	181	82638	82819
c_25_m_32	7	411	20401	20812
c_50_m_32	8	1444	22834	24278
c_50_m_32	9	1443	22832	24275
c_50_m_32	10	681	30783	31464
c_50_m_32	11	1321	22416	23737
c_50_m_32	12	623	52363	52986
c_50_m_32	13	766	23923	24689
c_50_m_32	14	1450	24670	26120
c_50_m_32	15	656	26751	27407
c_75_m_32	16	2824	11093	13917
c_75_m_32	17	2556	28219	30775
c_75_m_32	18	4925	40222	45147
c_75_m_32	19	2421	82750	85171
c_75_m_32	20	5723	16778	22501
c_75_m_32	21	4549	17506	22055
c_75_m_32	22	5662	18192	23854
c_75_m_32	23	2705	31378	34083
c_100_m_32	24	18052	52300	70352
c_100_m_32	25	22122	52660	74782
c_100_m_32	26	22371	74758	97129
c_100_m_32	27	10041	78541	88582
c_100_m_32	28	9916	49825	59741
c_100_m_32	29	23048	26693	49741
c_100_m_32	30	18770	59721	78491
c_100_m_32	31	10004	88568	98572
c_25_m_32	32	186	24366	24552
c_25_m_64	33	139	70	209
c_25_m_64	34	124	211	335
c_25_m_64	35	109	783	892
c_25_m_64	36	336	95	431
c_25_m_64	37	509	961	1470
c_25_m_64	38	410	1937	2347
c_25_m_64	39	136	2518	2654
c_50_m_64	40	512	99	611
c_50_m_64	41	501	1074	1575
c_50_m_64	42	498	2086	2584
c_50_m_64	43	501	3108	3609
c_50_m_64	44	1274	86	1360
c_50_m_64	45	1379	2897	4276
c_50_m_64	46	1297	5687	6984
c_50_m_64	47	506	7513	8019
c_75_m_64	48	2239	81	2320
c_75_m_64	49	1958	4372	6330
c_75_m_64	50	2135	8711	10846
c_75_m_64	51	2215	13002	15217
c_75_m_64	52	3653	104	3757
c_75_m_64	53	5636	9226	14862
c_75_m_64	54	4478	20707	25185
c_75_m_64	55	2186	29068	31254
c_100_m_64	56	11788	63	11851
c_100_m_64	57	10041	21188	31229
c_100_m_64	58	15170	41857	57027
c_100_m_64	59	8566	65710	74276
c_100_m_64	60	19907	52	19959
c_100_m_64	61	19631	75	19706
c_100_m_64	62	22569	32	22601
c_100_m_64	63	22474	60	22534
c_25_m_64	64	307	32	339
c_25_m_128	65	129	47	176
c_25_m_128	66	139	8447	8586
c_25_m_128	67	138	8594	8732
c_25_m_128	68	156	8737	8893
c_25_m_128	69	163	8897	9060
c_25_m_128	70	153	9064	9217
c_25_m_128	71	144	9147	9291
c_50_m_128	72	513	9222	9735
c_50_m_128	73	523	9293	9816
c_50_m_128	74	530	9691	10221
c_50_m_128	75	515	9735	10250
c_50_m_128	76	522	9815	10337
c_50_m_128	77	517	10221	10738
c_50_m_128	78	575	10250	10825
c_50_m_128	79	512	10339	10851
c_75_m_128	80	3437	309	3746
c_75_m_128	81	1963	3750	5713
c_75_m_128	82	1941	5714	7655
c_75_m_128	83	2003	7657	9660
c_75_m_128	84	5308	23	5331
c_75_m_128	85	5418	5339	10757
c_75_m_128	86	5399	10824	16223
c_75_m_128	87	2030	10877	12907
c_100_m_128	88	7930	117	8047
c_100_m_128	89	43958	8055	52013
c_100_m_128	90	16673	10874	27547
c_100_m_128	91	11107	12906	24013
c_100_m_128	92	8508	10	8518
c_100_m_128	93	8781	8522	17303
c_100_m_128	94	8956	17309	26265
c_100_m_128	95	19292	20542	39834
c_25_m_128	96	110	135	245
c_25_m_256	97	186	247	433
c_25_m_256	98	130	440	570
c_25_m_256	99	115	687	802
c_25_m_256	100	493	248	741
c_25_m_256	101	443	1290	1733
c_25_m_256	102	152	2172	2324
c_25_m_256	103	145	2467	2612
c_50_m_256	104	455	425	880
c_50_m_256	105	502	1390	1892
c_50_m_256	106	506	2409	2915
c_50_m_256	107	503	3422	3925
c_50_m_256	108	1508	1182	2690
c_50_m_256	109	1389	4098	5487
c_50_m_256	110	505	6817	7322
c_50_m_256	111	498	7837	8335
c_75_m_256	112	2031	2146	4177
c_75_m_256	113	2370	6152	8522
c_75_m_256	114	2139	10670	12809
c_75_m_256	115	2211	15039	17250
c_75_m_256	116	5439	3586	9025
c_75_m_256	117	5816	14695	20511
c_75_m_256	118	3829	25048	28877
c_75_m_256	119	2214	31082	33296
c_100_m_256	120	9345	11679	21024
c_100_m_256	121	10601	31088	41689
c_100_m_256	122	8468	57076	65544
c_100_m_256	123	7909	74133	82042
c_100_m_256	124	16240	24	16264
c_100_m_256	125	8250	757	9007
c_100_m_256	126	15365	2567	17932
c_100_m_256	127	16184	3887	20071
