group_name	thread_number	cpu_time(us)	wait_time(us)	exec_time(us)
c_25_m_32	0	154	867	1021
c_25_m_32	1	140	1006	1146
c_25_m_32	2	188	1131	1319
c_25_m_32	3	157	1308	1465
c_25_m_32	4	340	2244	2584
c_25_m_32	5	341	2560	2901
c_25_m_32	6	342	2882	3224
c_25_m_32	7	383	3163	3546
c_50_m_32	8	1403	6231	7634
c_50_m_32	9	2204	7613	9817
c_50_m_32	10	1699	9848	11547
c_50_m_32	11	1831	11485	13316
c_50_m_32	12	1316	6311	7627
c_50_m_32	13	2210	7655	9865
c_50_m_32	14	1660	9879	11539
c_50_m_32	15	1814	11518	13332
c_75_m_32	16	2717	19807	22524
c_75_m_32	17	3406	22504	25910
c_75_m_32	18	2307	25820	28127
c_75_m_32	19	2241	28109	30350
c_75_m_32	20	5341	23519	28860
c_75_m_32	21	3847	28828	32675
c_75_m_32	22	2339	32630	34969
c_75_m_32	23	2250	34944	37194
c_100_m_32	24	33463	172405	205868
c_100_m_32	25	30441	205778	236219
c_100_m_32	26	23057	243843	266900
c_100_m_32	27	29946	266810	296756
c_100_m_32	28	18841	80091	98932
c_100_m_32	29	10347	109094	119441
c_100_m_32	30	20080	119416	139496
c_100_m_32	31	9365	139447	148812
c_25_m_32	32	150	1037	1187
c_25_m_64	33	130	26	156
c_25_m_64	34	112	540	652
c_25_m_64	35	120	773	893
c_25_m_64	36	128	27	155
c_25_m_64	37	174	423	597
c_25_m_64	38	119	743	862
c_25_m_64	39	118	998	1116
c_50_m_64	40	1280	23	1303
c_50_m_64	41	1275	2575	3850
c_50_m_64	42	1200	5115	6315
c_50_m_64	43	447	6795	7242
c_50_m_64	44	438	21	459
c_50_m_64	45	469	892	1361
c_50_m_64	46	453	1824	2277
c_50_m_64	47	426	2727	3153
c_75_m_64	48	2429	28	2457
c_75_m_64	49	3303	4150	7453
c_75_m_64	50	5590	13897	19487
c_75_m_64	51	1999	22817	24816
c_75_m_64	52	1700	23	1723
c_75_m_64	53	1691	3478	5169
c_75_m_64	54	2759	6902	9661
c_75_m_64	55	2110	12241	14351
c_100_m_64	56	6922	26	6948
c_100_m_64	57	16837	17269	34106
c_100_m_64	58	8764	42635	51399
c_100_m_64	59	15631	59820	75451
c_100_m_64	60	16940	172	17112
c_100_m_64	61	11843	37005	48848
c_100_m_64	62	7904	67264	75168
c_100_m_64	63	14520	110281	124801
c_25_m_64	64	166	65	231
c_25_m_128	65	130	247	377
c_25_m_128	66	127	382	509
c_25_m_128	67	113	516	629
c_25_m_128	68	325	239	564
c_25_m_128	69	303	570	873
c_25_m_128	70	389	879	1268
c_25_m_128	71	344	1295	1639
c_50_m_128	72	1250	211	1461
c_50_m_128	73	1237	1465	2702
c_50_m_128	74	1221	2710	3931
c_50_m_128	75	1214	3942	5156
c_50_m_128	76	1427	88	1515
c_50_m_128	77	1252	1523	2775
c_50_m_128	78	1228	2788	4016
c_50_m_128	79	1221	4048	5269
c_75_m_128	80	4819	203	5022
c_75_m_128	81	6353	5038	11391
c_75_m_128	82	5110	11436	16546
c_75_m_128	83	2523	16573	19096
c_75_m_128	84	4923	69	4992
c_75_m_128	85	6363	5019	11382
c_75_m_128	86	5737	11524	17261
c_75_m_128	87	5486	17291	22777
c_100_m_128	88	21900	196	22096
c_100_m_128	89	35005	22143	57148
c_100_m_128	90	51863	63858	115721
c_100_m_128	91	54477	115779	170256
c_100_m_128	92	22543	158	22701
c_100_m_128	93	21497	22857	44354
c_100_m_128	94	22011	44395	66406
c_100_m_128	95	12994	66511	79505
c_25_m_128	96	217	38	255
c_25_m_256	97	107	264	371
c_25_m_256	98	114	489	603
c_25_m_256	99	112	730	842
c_25_m_256	100	210	47	257
c_25_m_256	101	140	439	579
c_25_m_256	102	124	705	829
c_25_m_256	103	125	962	1087
c_50_m_256	104	1228	1166	2394
c_50_m_256	105	1193	3696	4889
c_50_m_256	106	469	6151	6620
c_50_m_256	107	527	7075	7602
c_50_m_256	108	427	292	719
c_50_m_256	109	442	1206	1648
c_50_m_256	110	444	2111	2555
c_50_m_256	111	433	2988	3421
c_75_m_256	112	1687	2294	3981
c_75_m_256	113	6376	7341	13717
c_75_m_256	114	3310	19333	22643
c_75_m_256	115	1879	24656	26535
c_75_m_256	116	1752	1566	3318
c_75_m_256	117	1726	5016	6742
c_75_m_256	118	2566	9511	12077
c_75_m_256	119	3518	14198	17716
c_100_m_256	120	10275	6798	17073
c_100_m_256	121	8505	33963	42468
c_100_m_256	122	8401	51253	59654
c_100_m_256	123	8510	75306	83816
c_100_m_256	124	19862	16972	36834
c_100_m_256	125	18391	48708	67099
c_100_m_256	126	23030	75035	98065
c_100_m_256	127	11961	109045	121006
